issue_key,issue_inicio,issue_fin,release_name,release_quarter,release_squad,release_tribu
PROJ-10292,2025-09-04,2025-12-03,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10293,2025-03-01,2025-08-17,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10294,2025-10-12,2025-12-02,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10295,2025-04-15,2025-12-11,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10296,2025-10-28,2025-12-14,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10297,2025-06-19,2025-10-01,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10298,2025-11-27,2025-12-09,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10299,2025-04-19,2025-10-11,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10300,2025-10-19,2025-12-03,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10301,2025-08-26,2025-11-07,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10302,2025-01-12,2025-07-23,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10303,2025-03-12,2025-09-17,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10304,2025-05-18,2025-08-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10305,2025-04-19,2025-12-07,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10306,2025-12-08,2025-12-15,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10307,2025-01-04,2025-07-24,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10308,2025-02-03,2025-05-07,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10309,2025-06-07,2025-12-14,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10310,2025-10-22,2025-11-14,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10311,2025-07-04,2025-11-07,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10312,2025-07-10,2025-10-05,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10313,2025-02-06,2025-05-31,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10314,2025-06-07,2025-09-09,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10315,2025-09-15,2025-11-26,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10316,2025-08-03,2025-11-15,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10317,2025-06-15,2025-10-21,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10318,2025-09-30,2025-11-14,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10319,2025-04-30,2025-08-05,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10320,2025-02-16,2025-11-23,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10321,2025-05-03,2025-06-18,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10322,2025-07-28,2025-12-23,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10323,2025-03-13,2025-05-27,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10324,2025-10-14,2025-11-30,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10325,2025-10-09,2025-12-05,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10326,2025-08-20,2025-10-14,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10327,2025-11-20,2025-11-29,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10328,2025-03-30,2025-08-17,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10329,2025-04-28,2025-05-03,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10330,2025-07-27,2025-08-21,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10331,2025-01-18,2025-02-08,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10332,2025-04-24,2025-06-12,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10333,2025-12-04,2025-12-28,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10334,2025-12-05,2025-12-06,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10335,2025-04-21,2025-10-20,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10336,2025-06-21,2025-08-26,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10337,2025-01-20,2025-04-29,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10338,2025-02-14,2025-12-30,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10339,2025-06-05,2025-12-13,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10340,2025-08-13,2025-12-13,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10341,2025-01-21,2025-03-21,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10342,2025-11-12,2025-12-11,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10343,2025-04-07,2025-05-23,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10344,2025-10-24,2025-12-04,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10345,2025-08-20,2025-12-18,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10346,2025-10-29,2025-12-18,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10347,2025-06-24,2025-12-18,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10348,2025-04-26,2025-12-11,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10349,2025-04-29,2025-12-06,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10350,2025-01-24,2025-09-18,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10351,2025-02-08,2025-12-01,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10352,2025-08-31,2025-10-11,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10353,2025-09-14,2025-09-30,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10354,2025-04-04,2025-06-10,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10355,2025-01-30,2025-03-31,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10356,2025-06-08,2025-11-30,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10357,2025-08-19,2025-11-18,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10358,2025-01-13,2025-04-13,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10359,2025-10-02,2025-10-30,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10360,2025-11-30,2025-12-22,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10361,2025-09-24,2025-11-09,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10362,2025-11-02,2025-12-30,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10363,2025-11-09,2025-11-28,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10364,2025-02-14,2025-09-14,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10365,2025-09-09,2025-10-08,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10366,2025-11-18,2025-11-24,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10367,2025-01-24,2025-03-29,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10368,2025-08-20,2025-12-08,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10369,2025-06-20,2025-08-07,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10370,2025-09-25,2025-11-23,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10371,2025-06-06,2025-09-20,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10372,2025-07-29,2025-11-02,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10373,2025-02-01,2025-09-21,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10374,2025-12-12,2025-12-22,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10375,2025-05-06,2025-12-26,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10376,2025-01-11,2025-02-15,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10377,2025-09-19,2025-09-23,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10378,2025-11-16,2025-11-29,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10379,2025-01-16,2025-11-08,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10380,2025-07-02,2025-10-11,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10381,2025-06-21,2025-12-16,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10382,2025-03-12,2025-10-25,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10383,2025-09-04,2025-12-09,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10384,2025-07-02,2025-09-08,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10385,2025-05-10,2025-09-12,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10386,2025-02-10,2025-04-14,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10387,2025-06-09,2025-12-19,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10388,2025-09-15,2025-12-02,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10389,2025-01-15,2025-07-10,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10390,2025-05-03,2025-08-09,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10391,2025-02-15,2025-12-12,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10392,2025-12-02,2025-12-27,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10393,2025-09-13,2025-12-27,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10394,2025-06-10,2025-07-01,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10395,2025-07-21,2025-09-29,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10396,2025-10-21,2025-12-09,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10397,2025-06-21,2025-11-16,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10398,2025-03-21,2025-07-02,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10399,2025-02-20,2025-06-12,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10400,2025-12-09,2025-12-26,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10401,2025-02-17,2025-02-28,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10402,2025-08-25,2025-10-10,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10403,2025-03-03,2025-07-02,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10404,2025-01-06,2025-08-08,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10405,2025-02-06,2025-05-04,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10406,2025-06-29,2025-12-30,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10407,2025-09-09,2025-10-09,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10408,2025-12-29,2025-12-31,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10409,2025-07-17,2025-12-01,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10410,2025-06-11,2025-12-15,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10411,2025-04-05,2025-09-30,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10412,2025-02-26,2025-07-25,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10413,2025-12-25,2025-12-31,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10414,2025-12-08,2025-12-11,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10415,2025-04-18,2025-09-26,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10416,2025-12-29,2025-12-31,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10417,2025-11-15,2025-11-15,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10418,2025-10-09,2025-11-07,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10419,2025-08-14,2025-12-20,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10420,2025-12-03,2025-12-10,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10421,2025-07-29,2025-10-31,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10422,2025-05-10,2025-12-10,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10423,2025-05-27,2025-11-20,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10424,2025-12-04,2025-12-13,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10425,2025-04-03,2025-11-11,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10426,2025-04-01,2025-09-08,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10427,2025-05-04,2025-11-04,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10428,2025-12-21,2025-12-31,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10429,2025-05-30,2025-07-29,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10430,2025-01-15,2025-03-05,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10431,2025-08-18,2025-10-21,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10432,2025-12-06,2025-12-27,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10433,2025-07-24,2025-10-20,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10434,2025-10-08,2025-10-22,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10435,2025-12-05,2025-12-12,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10436,2025-07-02,2025-12-01,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10437,2025-05-12,2025-10-13,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10438,2025-02-01,2025-12-28,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10439,2025-11-28,2025-12-30,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10440,2025-05-28,2025-09-28,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10441,2025-10-07,2025-12-19,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10442,2025-12-05,2025-12-07,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10443,2025-01-27,2025-04-28,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10444,2025-09-23,2025-11-18,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10445,2025-10-18,2025-10-26,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10446,2025-02-08,2025-11-30,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10447,2025-10-01,2025-12-25,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10448,2025-06-22,2025-07-24,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10449,2025-04-27,2025-05-08,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10450,2025-05-06,2025-05-28,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10451,2025-05-20,2025-10-12,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10452,2025-02-26,2025-06-01,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10453,2025-06-10,2025-08-18,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10454,2025-03-09,2025-04-09,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10455,2025-12-05,2025-12-23,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10456,2025-09-23,2025-11-09,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10457,2025-12-21,2025-12-28,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10458,2025-04-01,2025-09-27,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10459,2025-04-09,2025-10-05,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10460,2025-09-16,2025-09-18,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10461,2025-12-16,2025-12-23,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10462,2025-08-01,2025-08-31,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10463,2025-06-21,2025-12-22,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10464,2025-08-17,2025-10-14,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10465,2025-06-14,2025-09-19,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10466,2025-11-25,2025-12-09,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10467,2025-05-30,2025-12-04,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10468,2025-04-03,2025-08-29,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10469,2025-05-20,2025-12-29,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10470,2025-09-29,2025-10-28,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10471,2025-11-19,2025-12-21,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10472,2025-04-17,2025-04-20,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10473,2025-12-02,2025-12-05,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10474,2025-10-17,2025-12-04,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10475,2025-10-29,2025-11-20,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10476,2025-11-08,2025-12-12,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10477,2025-09-05,2025-10-12,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10478,2025-04-08,2025-12-27,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10479,2025-10-26,2025-12-29,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10480,2025-11-22,2025-11-29,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10481,2025-02-07,2025-10-09,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10482,2025-01-16,2025-05-16,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10483,2025-01-13,2025-08-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10484,2025-10-12,2025-10-25,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10485,2025-12-20,2025-12-23,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10486,2025-10-18,2025-11-27,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10487,2025-03-19,2025-05-10,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10488,2025-12-07,2025-12-25,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10489,2025-07-14,2025-09-05,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10490,2025-04-10,2025-10-14,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10491,2025-10-17,2025-11-19,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10492,2025-07-01,2025-07-16,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10493,2025-10-20,2025-11-11,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10494,2025-10-09,2025-12-13,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10495,2025-11-25,2025-12-22,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10496,2025-02-05,2025-12-09,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10497,2025-01-06,2025-04-19,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10498,2025-02-17,2025-08-13,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10499,2025-09-19,2025-11-09,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10500,2025-05-28,2025-10-20,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10501,2025-09-20,2025-11-04,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10502,2025-01-10,2025-09-08,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10503,2025-05-08,2025-12-31,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10504,2025-09-09,2025-09-21,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10505,2025-11-16,2025-12-09,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10506,2025-04-28,2025-10-03,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10507,2025-02-24,2025-03-13,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10508,2025-04-29,2025-11-06,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10509,2025-02-07,2025-05-09,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10510,2025-02-22,2025-07-23,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10511,2025-05-25,2025-12-20,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10512,2025-08-17,2025-09-16,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10513,2025-09-12,2025-10-01,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10514,2025-08-28,2025-11-15,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10515,2025-01-13,2025-10-08,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10516,2025-03-26,2025-09-14,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10517,2025-04-02,2025-08-21,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10518,2025-09-24,2025-12-04,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10519,2025-12-17,2025-12-25,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10520,2025-06-04,2025-09-19,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10521,2025-02-17,2025-08-13,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10522,2025-09-15,2025-10-26,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10523,2025-09-06,2025-12-31,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10524,2025-01-20,2025-11-22,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10525,2025-04-05,2025-05-24,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10526,2025-03-21,2025-04-17,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10527,2025-03-22,2025-11-05,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10528,2025-11-12,2025-12-05,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10529,2025-10-28,2025-11-12,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10530,2025-01-02,2025-04-19,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10531,2025-02-20,2025-09-18,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10532,2025-11-07,2025-11-24,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10533,2025-09-14,2025-09-19,Release 24.3,Q2-2025,Datos,Analytics
PROJ-10534,2025-01-06,2025-05-25,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10535,2025-08-17,2025-10-19,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10536,2025-03-09,2025-06-20,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10537,2025-02-19,2025-12-04,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10538,2025-07-24,2025-08-15,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10539,2025-01-25,2025-07-29,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10540,2025-10-30,2025-12-04,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10541,2025-08-19,2025-09-09,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10542,2025-07-15,2025-08-27,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10543,2025-01-17,2025-10-27,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10544,2025-07-22,2025-09-19,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10545,2025-09-07,2025-09-13,Release 24.1,Q1-2025,Plataforma,Servicios Core
PROJ-10546,2025-07-06,2025-12-17,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10547,2025-06-15,2025-07-27,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10548,2025-10-04,2025-12-31,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10549,2025-01-29,2025-03-01,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10550,2025-08-25,2025-09-23,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10551,2025-02-19,2025-06-05,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10552,2025-09-03,2025-12-26,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10553,2025-10-04,2025-11-05,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10554,2025-08-21,2025-12-02,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10555,2025-06-26,2025-10-02,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10556,2025-06-17,2025-07-25,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10557,2025-02-14,2025-10-26,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10558,2025-12-07,2025-12-26,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10559,2025-10-07,2025-12-30,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10560,2025-06-17,2025-12-09,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10561,2025-06-10,2025-10-20,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10562,2025-06-04,2025-11-13,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10563,2025-02-06,2025-06-08,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10564,2025-05-02,2025-08-09,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10565,2025-03-01,2025-11-23,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10566,2025-01-27,2025-03-03,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10567,2025-02-06,2025-07-23,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10568,2025-10-17,2025-12-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10569,2025-11-12,2025-11-24,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10570,2025-01-24,2025-09-09,Release 24.9,Q1-2025,Datos,Analytics
PROJ-10571,2025-08-07,2025-10-10,Release 24.11,Q3-2025,Infra,Operaciones
PROJ-10572,2025-02-17,2025-07-27,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10573,2025-12-06,2025-12-26,Release 24.12,Q4-2025,Pagos,Analytics
PROJ-10574,2025-01-20,2025-05-12,Release 24.10,Q2-2025,Ciberseguridad,Growth
PROJ-10575,2025-05-02,2025-09-15,Release 24.2,Q1-2025,Experiencia Cliente,Digital
PROJ-10576,2025-08-13,2025-11-19,Release 24.4,Q2-2025,Infra,Servicios Core
PROJ-10577,2025-03-02,2025-11-12,Release 24.8,Q4-2025,Experiencia Cliente,Growth
PROJ-10578,2025-03-29,2025-05-10,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10579,2025-11-25,2025-12-22,Release 24.6,Q3-2025,Pagos,Digital
PROJ-10580,2025-02-14,2025-12-07,Release 24.5,Q3-2025,Ciberseguridad,Servicios Core
PROJ-10581,2025-08-11,2025-09-24,Release 24.7,Q4-2025,Plataforma,Operaciones
PROJ-10582,2025-11-25,2025-12-22,Release 24.10,Q2-2025,Ciberseguridad,Growth
